,dc_A,dc_B,cc_A,cc_B
0,0.002317497103128621,0.003186558516801854,0.17994887814750327,0.2125931493789095
1,0.002317497103128621,0.0037659327925840093,0.17994887814750327,0.1909218380629363
2,0.002317497103128621,0.002607184241019699,0.17994887814750327,0.17996091888876442
3,0.002317497103128621,0.0020278099652375433,0.17994887814750327,0.1746665757106497
4,0.002317497103128621,0.004055619930475087,0.17994887814750327,0.20123576002937404
5,0.002317497103128621,0.002317497103128621,0.17994887814750327,0.19513283993271305
6,0.002317497103128621,0.004345307068366165,0.17994887814750327,0.20760447184813463
7,0.002317497103128621,0.0028968713789107765,0.17994887814750327,0.1951611590445239
8,0.004634994206257242,0.014484356894553881,0.21396308136774733,0.2615751733896697
9,0.004634994206257242,0.004924681344148319,0.21396308136774733,0.22835081786318423
10,0.004634994206257242,0.004634994206257242,0.21396308136774733,0.21396308136774733
11,0.004634994206257242,0.008111239860950173,0.21396308136774733,0.24293342361056672
12,0.004634994206257242,0.008111239860950173,0.21396308136774733,0.2347691980440454
13,0.004634994206257242,0.005504055619930475,0.21396308136774733,0.22860313920888942
14,0.004634994206257242,0.00608342989571263,0.21396308136774733,0.21618165202094558
15,0.004634994206257242,0.010718424101969872,0.21396308136774733,0.2432410177075684
16,0.004634994206257242,0.004634994206257242,0.21396308136774733,0.21396308136774733
17,0.004634994206257242,0.004634994206257242,0.21396308136774733,0.21396308136774733
18,0.004634994206257242,0.004924681344148319,0.21396308136774733,0.21860651327258263
19,0.004634994206257242,0.010428736964078795,0.21396308136774733,0.249444994694174
20,0.004634994206257242,0.00608342989571263,0.21396308136774733,0.22086851710541053
21,0.004634994206257242,0.004634994206257242,0.21396308136774733,0.21396308136774733
22,0.004634994206257242,0.011587485515643106,0.21396308136774733,0.2559250102571685
23,0.004634994206257242,0.004634994206257242,0.21396308136774733,0.21396308136774733
24,0.00028968713789107763,0.00028968713789107763,0.00028968713789107763,0.00028968713789107763
25,0.0011587485515643105,0.0008690614136732329,0.20826358469820225,0.18411253647265774
